workspace_name,domain_name,domain_pool_status,total_inboxes,dead_count,alive_count,alive_connected,alive_disconnected,dead_connected,dead_disconnected,last_killed_date,last_alive_date,subscription_cancel_eligible
Selery,distributeselery.com,reserve,3,0,3,3,0,0,0,,2026-04-30,False
Selery,maxselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,operateselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,coreselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,runselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,scaleselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,buildselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,directselery.com,reserve,3,0,3,3,0,0,0,,2026-04-30,False
Selery,tryselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,chaseselery.com,reserve,3,0,3,3,0,0,0,,2026-04-30,False
Selery,powerselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,amplifyselery.com,reserve,1,0,1,1,0,0,0,,2026-04-30,False
Selery,proselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,goselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,analyzeselery.com,reserve,3,0,3,3,0,0,0,,2026-04-30,False
Selery,winselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Selery,automateselery.com,reserve,3,0,3,3,0,0,0,,2026-04-30,False
Selery,packselery.com,live,3,0,3,3,0,0,0,,2026-04-30,False
Spout,ecospoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,savespoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,risespoutwater.com,live,3,3,0,0,0,0,3,2026-02-14,,True
Spout,chillspoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,surgespoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,evolvespoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,buildspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,reusespoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,flowspoutwater.com,live,3,3,0,0,0,3,0,2026-02-22,,True
Spout,beginspoutwater.com,burned,3,3,0,0,0,3,0,2026-04-29,,True
Spout,recyclespoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,divespoutwater.com,live,3,3,0,0,0,0,3,2026-02-14,,True
Spout,myspoutwater.com,live,3,3,0,0,0,0,3,2026-03-19,,True
Spout,preservespoutwater.com,live,3,3,0,0,0,3,0,2026-03-31,,True
Spout,healspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,movespoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,peakspoutwater.com,live,3,3,0,0,0,3,0,2026-02-25,,True
Spout,hellospoutwater.com,live,3,3,0,0,0,0,3,2026-04-29,,True
Spout,feelspoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,restorespoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,conservespoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,splashspoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,swirlspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,simplespoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,refreshspoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,carespoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,growspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,lovespoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,livespoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,freshspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,focusspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,createspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,clearspoutwater.com,burned,3,3,0,0,0,3,0,2026-04-30,,True
Spout,cleansespoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,ripplespoutwater.com,live,3,3,0,0,0,0,3,2026-04-30,,True
Spout,refillspoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,wavespoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,revivespoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,freshenspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,dripspoutwater.com,live,3,3,0,0,0,3,0,2026-03-01,,True
Spout,activatespoutwater.com,live,3,3,0,0,0,3,0,2026-04-30,,True
Spout,glowspoutwater.com,live,3,3,0,0,0,3,0,2026-03-20,,True
Spout,blissspoutwater.com,live,3,3,0,0,0,3,0,2026-03-25,,True
Spout,excelspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,runspoutwater.com,live,3,3,0,0,0,3,0,2026-04-17,,True
Spout,streamspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,boostspoutwater.com,live,3,3,0,0,0,3,0,2026-02-14,,True
Spout,pourspoutwater.com,live,3,3,0,0,0,3,0,2026-04-29,,True
Spout,discoverspoutwater.com,live,51,38,13,13,0,38,0,2026-04-21,2026-04-30,False
Spout,getspoutwater.com,burned,51,37,14,14,0,37,0,2026-04-29,2026-04-30,False
Spout,sipspoutwater.com,live,50,36,14,14,0,36,0,2026-03-18,2026-04-30,False
Spout,joinspoutwater.com,burned,50,35,15,15,0,35,0,2026-04-15,2026-04-30,False
Spout,drinkspoutwater.com,burned,51,23,28,28,0,23,0,2026-04-28,2026-04-30,False
Spout,mistspoutwater.com,burned,50,23,27,27,0,23,0,2026-04-29,2026-04-30,False
